portuguese,english
lavender is my favorite plant,lavanda e a minha planta favorita
i saw him jump,via saltar
i need to pay some bills,preciso pagar umas contas
have you seen this man,viu este homem
why dont you just tell me what you want me to do,por que voces so nao me dizem o que querem que eu faca
were also out of eggs,tambem estamos sem ovos
i borrowed fathers hammer to build a dog house,eu peguei emprestado o martelo do meu pai para construir uma casinha de cachorro
im still alive,ainda estou vivo
i think tom lied to mary,eu acho que tom mentiu para maria
tom and i have different priorities,o tom e eu temos prioridades diferentes
i meet him from time to time,encontroo de vez em quando
tom and mary are awake,tom e maria estao acordados
we wont get off this island alive,nao sairemos vivas desta ilha
what was the situation in boston,qual era a situacao em boston
tom wasnt the one who taught me how to drive,o tomas nao foi o unico que me ensinou a conduzir
the taj mahal is one of the seven wonders of the world,o taj mahal e uma das sete maravilhas do mundo
you may stay here as long as you keep quiet,voce pode ficar aqui desde que fique quieto
i wonder why tom didnt tell the truth,me pergunto por que o tom nao disse a verdade
put the money in the bank,coloque o dinheiro no banco
tom saw the file,tom viu o arquivo
this book is about torture,este livro fala de tortura
tomll cry,tom ira chorar
tom told me that he was at home,o tom me disse que estava em casa
thats ridiculous,isso e ridiculo
i found it,encontrei
tom got too complacent,o tom ficou muito complacente
tom said that hed give me the details later,tom disse que me daria os detalhes depois
why would i laugh,por que eu riria
to tell the truth i couldnt finish it in time,para dizer a verdade eu nao pude terminala a tempo
i broke three dishes,eu quebrei tres pratos
theres nothing wrong with the way tom did that,nao ha nada de errado com a maneira que o tom fez aquilo
tom is the person who fixes things around here,e o tom quem conserta as coisas por aqui
i like fish,eu gosto de peixe
he seems to be in good health,ele parece estar saudavel
tom kept silent for a while,tom fez silencio um instante
youve arrived too early,voce chegou cedo demais
what kind of yogurt do you like best,que tipo de iogurte voces mais gostam
are they all ready,elas estao todas prontas
our only witness is refusing to testify,nossa unica testemunha se recusa a testemunhar
i could use some sleep,eu bem que estou precisando de dormir um pouco
that is intriguing,isso e interessante
when did he die not very long ago,quando ele morreu nao faz muito tempo
answer tom,responda ao tom
someones been very busy,alguem tem estado muito ocupado
i frequently talk to tom,falo com tom frequentemente
tom was shocked by what mary said,tom ficou chocado com o que maria disse
ive moved back to boston,eu movi de volta para boston
this isnt correct,isto nao e correto
i didnt know that you two knew each other,nao sabia que voces duas se conheciam
tom and i are just friends,tom e eu somos so amigos
i tore the picture out of the album,eu arranquei a foto do album
stop doing that,pare de fazer isso
i know you dont know either,eu sei que voce tambem nao sabe
she brushes her hair in the morning,ela escova seus cabelos de manha
who should i talk to,com quem devo falar
the situation got out of their control,a situacao fugiu do controle deles
this is not fair,isto nao e justo
tom has tried to fix the computer,o tom tentou consertar o computador
i hope that you dont get injured,eu espero que voce nao se machuque
i dont think tom understood me,eu nao acho que o tom tenha me entendido
im so proud of tom,estou tao orgulhoso do tom
i dont know where to go,eu nao sei para onde ir
she was watching the dead leaves falling,ela estava observando as folhas secas cairem
can you tell me where the zoo is,voce pode me dizer onde fica o zoologico
a tea with lemon please,cha com limao por favor
i havent found a way to stop tom from doing that,eu nao encontrei uma maneira de impedir tom de fazer aquilo
have a look at that picture,de uma olhada nessa foto
she spread a cloth over the table,ela estendeu uma toalha na mesa
my uncle lives near the school,o meu tio mora perto da escola
tom couldnt do anything for mary,tom nao conseguia fazer nada por mary
she sued him for damages,ela o processou por danos
sorry but i have to hurry i have no time to explain this in detail,desculpe mas tenho de me apressar nao tenho tempo para explicar isso em detalhes
tom is three years younger than i am,tom e tres anos mais novo que eu
tom intends to live in boston for more than a year,tom pretende morar em boston por mais de um ano
its boring to stay at home,e chato ficar em casa
how much is four times six,quanto e quatro vezes seis
i still love this bicycle,eu ainda adoro esta bicicleta
im in the same class as tom,estou na mesma classe que tom
ill give you one last chance,vou te dar uma ultima chance
we were shown all of their family photos,mostraramnos todas as suas fotos de familia
theres nothing better than taking a nice walk,nao ha nada melhor do que fazer uma boa caminhada
we live in a beautiful city,moramos em uma bela cidade
most englishmen are conservative,a maioria dos ingleses e conservadora
what else could you want,o que mais voce poderia querer
toms father never came back home before nine or ten,o pai de tom nunca voltava para casa antes das nove ou dez
tom planted some flower seeds in his garden,tom plantou algumas sementes de flores em seu jardim
tom tried to trick us,tom tentou nos enganar
who will you be coming with,com quem viras
are you kidding me,voce esta de sacanagem comigo
when the times right youll know,voce vai saber quando for a hora
everything stopped,todo mundo parou
she stole a lot of money from him so now she is in prison,ela roubou muito dinheiro dele entao agora ela esta presa
theres a hair in my soup,ha um cabelo em minha sopa
excuse me whats your name,com licenca qual e o seu nome
i knew that it was going to happen,eu sabia que isso iria acontecer
may i go to the movies tonight,posso ir ao cinema esta noite
were realistic,nos somos realistas
tom didnt wear the tie mary wanted him to wear,tom nao usou a gravata que maria queria
you are now an adult,agora voce e adulto
here take this,aqui tome isto
lincoln won the election,lincoln ganhou as eleicoes
tom doesnt have a dad,tom nao tem pai
why did you quit,por que voce desistiu
tom is coming to see us again next week,o tom esta vindo nos ver de novo na proxima semana
do you translate lyrics,voce traduz letra de musica
everyone must obey the rules those who dont will be punished,todos devem cumprir as regras aqueles que nao cumprirem serao punidos
i dont know what id do without you,eu nao sei o que eu faria sem voce
he is washing his car,ele esta lavando o seu carro
i swear to god i didnt kill tom,juro por deus que eu nao matei o tom
weve ordered a pizza,pedimos uma pizza
do you really think tom is unbiased,voce realmente acha que tom e imparcial
i cough a lot,eu tusso muito
tom will never survive,tom nao vai sobreviver nunca
i know that its inevitable,eu sei que e inevitavel
a promise is a promise,uma promessa e uma promessa
tom knew that mary was right,tom sabia que mary estava certa
tom said hes furious,tom disso que esta furioso
tom has already been transferred to another hospital,tom ja foi transferido para outro hospital
youre very important to us,voces sao muito importantes para nos
he slipped on a banana peel,ele escorregou numa casca de banana
i decided im going to ask him out tonight,eu decidi vou convidalo para sair hoje a noite
his lectures are terribly boring,suas aulas sao terrivelmente chatas
i wasnt hungry,eu nao estava com fome
why are you so upset now,por que voce esta tao chateado agora
i caught him by the arm before he could fall,eu o segurei pelo braco antes que ele caisse
i rushed out of my house,sai correndo de casa
you dont want this do you,voce nao quer isso nao e
what are you selling,o que voce esta vendendo
this isnt hard,este nao e dificil
did tom know you were here,tom sabia que voce estava aqui
tom was hospitalized,o tom foi hospitalizado
i ate it all by myself,comio todo sozinho
the children were swimming naked,as criancas estavam nadando nuas
i know why tom and mary are scared,sei por que tom e mary estao assustados
its a beautiful sword,e uma bela espada
i already saw it,ja o vi
tom talked about mary,tom falou sobre a mary
if grandma doesnt come the children will be disappointed,se a vovo nao vier as criancas ficarao desapontadas
tom left the restaurant without paying,tom saiu do restaurante sem pagar
cats are smart,gatos sao inteligentes
tell tom im going to drop by his house this afternoon,fala para o tom que vou passar em sua casa hoje a tarde
im going to be out of town until next monday,vou estar fora da cidade ate a proxima segunda
tom always tries to keep an open mind,tom sempre tenta manter a mente aberta
i majored in french,eu me especializei em frances
im an orphan,eu sou orfao
i know someone whos available,eu conheco alguem que esta disponivel
tom thought that it was a bomb,tom pensou que era uma bomba
i know it was just a dream,eu sei que foi apenas um sonho
tom and mary are eating breakfast,tom e maria estao tomando cafe da manha
should i buy something for him,devo comprar algo para ele
i dont like you very much,eu nao gosto muito de voce
i wouldnt have done it,eu nao teria feito isso
he drinks a glass of water every morning,ele toma um copo dagua todas as manhas
i dont often eat out,eu nao costumo comer fora
i would like to order a sandwich,gostaria de pedir um sanduiche
there were 215 votes for the motion and 15 votes against it,houve 215 votos a favor da proposta e 15 contra
tom asked me if i was tired,tom me perguntou se eu estava cansado
our teacher gives us a lot of homework,a nossa professora nos da muita licao de casa
tom must be angry,o tom deve estar bravo
tom looks like hes discouraged,tom parece que esta desanimado
she came to japan to study japanese,ela veio ao japao para estudar japones
the war between france and england lasted one hundred years,a guerra entre a franca e a inglaterra durou cem anos
i want to rent this room to a student,quero alugar o quarto a um estudante
his sister is a real beauty,a irma dele e realmente linda
you should wear a helmet when you ride a motorcycle,devese usar capacete quando se anda de motocicleta
i have to do this,tenho de fazer isso
i thought it was a bottle,eu pensei que era uma garrafa
i know that tom isnt a cat lover,eu sei que tom nao e um amante de gatos
i feel like eating out tonight,estou com vontade de comer fora esta noite
thirteen were hospitalized,treze foram hospitalizados
i owe what i am today to my parents,eu devo o que sou hoje aos meus pais
i can finish this later,eu posso terminar isso mais tarde
have you already finished,voce ja terminou
the store is closed mondays,a loja esta fechada na segundafeira
she makes him do his homework before dinner,ela o fez fazer seu dever de casa antes do jantar
we may not be able to help,talvez nao possamos ajudar
charlemagne was crowned by the pope,carlos magno foi coroado pelo papa
the measure of success is not necessarily money,o sucesso nao e necessariamente medido pelo dinheiro
let me show you,deixeme lhe mostrar
im not afraid anymore,nao tenho mais medo
i arrived here about five oclock,cheguei aqui aproximadamente as cinco horas
youre talented,tu es talentoso
tom and mary have already finished havent they,tom e mary ja terminaram nao e
tom started running,tom comecou a correr
i drank so much that i vomited,bebi tanto que vomitei
my watch is accurate,meu relogio e preciso
how do you spell it,como voce a pronuncia
the radio is too loud turn the volume down,o radio esta alto demais abaixe o volume
i am accustomed to eating this sort of food,estou acostumado em comer este tipo de comida
call security,chame a seguranca
who threw that,quem jogou isso
is he still here,ele ainda esta aqui
its not monday,nao e segundafeira
tom is more intelligent than most people think he is,tom e mais inteligente do que a maioria das pessoas pensa
that would be nice dont you think,isso seria legal voce nao acha
tom rolled the dice,tom rolou os dados
filiberto just lost his job,filiberto acabou de perder o emprego
toms got a tremendous amount of work to do,tom tem uma tremenda quantidade de trabalho para fazer
i had help doing that,eu tive ajuda para fazer isso
tom looked at mary and shrugged,tom olhou para maria e deu de ombros
he speaks five languages,ele fala cinco idiomas
have you read the manual,voces leram o manual
im taking a break,estou descansando
im trying to remember,eu estou tentando lembrar
is it true that you came by plane,e verdade que voce veio de aviao
i recommend doing that,eu recomendo fazer isso
what kind of costume are you planning on wearing to the halloween party,que tipo de fantasia voce esta imaginando usar no dia das bruxas
its a chance weve got to take,e um risco que temos que correr
tom asked me where i was going,tom me perguntou onde eu estava indo
you did what had to be done,voces fizeram o que tinha de ser feito
were sick of your lies,estamos cansados de suas mentiras
tom is calling mary names,tom esta xingando maria
we should go together,deveriamos ir juntos
ill make sure tom writes to you,vou fazer tudo para que tom vos escreva
i could not find it anyplace,nao consegui encontrar isso em lugar nenhum
this is the longest bridge in the world,esta e a ponte mais comprida do mundo
hes dirty minded,ele tem a mente poluida
is there any butter in the refrigerator,tem manteiga na geladeira
i think im a good boss,acho que sou um bom chefe
i dont like the house he lives in,eu nao gosto da casa em que ele mora
he sent the letter back unopened,ele devolveu a carta sem abrir
does he have any brothers,ele tem irmaos
i wont let you drive,eu nao vou deixar voce dirigir
tom scared us,tom nos assustou
i just cant do it,simplesmente nao posso
the rocket exploded on the launch pad,o foguete explodiu na plataforma de lancamento
the child talks as if he were a man,a crianca fala como se fosse um homem
did you live here,voces moraram aqui
tom cant do that today,tom nao pode fazer isso hoje
im not proud of this,eu nao me orgulho disto
the line is moving very slowly,a fila esta a andar muito devagar
they are my brothers,eles sao meus irmaos
which is heavier lead or gold,qual e o mais pesado o chumbo ou o ouro
what goes around comes around,aqui se faz aqui se paga
the phone rang while i was taking a shower,o telefone tocou enquanto eu tomava banho
did you write down toms number,voce anotou o numero de tom
my joints ache,as minhas juntas doem
give me your car keys,me da as chaves do teu carro
that could be helpful,isso poderia ser util
i cant talk right now,nao posso conversar agora
tom has known mary ever since they were children,tom conhece maria desde quando eram criancas
she is forbidden to go out,ela esta proibida de sair
were counting on you,estamos contando com voces
i dont know what to do with it,eu nao sei o que fazer com isto
im not going to deny that,eu nao vou negar isso
i was just wondering what languages you can speak,estava pensando quantas linguas voce fala
what was your impression,qual foi a sua impressao
im not worried about it,eu nao estou preocupado
this camera was made in germany,essa camera foi feita na alemanha
tom calls mary once in a while,tom chama a mary de vez em quando
i didnt want to give up,eu nao queria desistir
do you know when theyll arrive,voce sabe quando e que eles vao chegar
tom made breakfast,tom fez cafe da manha
he is unable to concentrate on his academic work,ele e incapaz de se concentrar em seu trabalho academico
im doing it for you,estou fazendo isso por voce
you are my reason for living,a razao da minha vida e voce
i hear he is good at mahjong,ouvi dizer que ele e bom em mahjong
i dont believe that we can do it,eu nao acredito que possamos fazer isso
tom didnt have to make a speech,tom nao tinha que fazer um discurso
did you accomplish your goals,voce cumpriu seus objetivos
tom spelled my name wrong,tom escreveu o meu nome errado
tom didnt say goodbye to mary,tom nao se despediu de mary
thats what you do isnt it,isso e o que voce faz nao e
you speak fluent english,voces falam ingles fluentemente
unlock the door,destranque a porta
no one knows the reason,ninguem sabe a razao
i understand what you meant,eu entendi o que voce quis dizer
that might be a little inconvenient for you dont you think,isso poderia ser meio inconveniente para voce nao acha
do ants have ears,as formigas tem ouvidos
no one can tell,ninguem sabe dizer
tom was surprised when he saw mary in boston,tom ficou surpreso quando viu a mary em boston
i have to go to the airport to meet my family,tenho de ir ao aeroporto para me encontrar com a minha familia
did tom say how he did that,tom disse como foi que ele fez aquilo
talk to my attorney,fale com a minha advogada
i prefer working alone,prefiro trabalhar sozinho
we painted the house green,pintamos a casa de verde
how tall are you,quanto voce mede
right now tom just wants to be left alone,agora o tom so quer ser deixado em paz
when was the last time you played golf,quando foi a ultima vez que voce jogou golfe
i cant thank you enough,nao posso agradecerlhe o suficiente
i hope we will be able to keep in touch,eu espero que nos consigamos manter contato
the year 1980 saw the fastest economic growth in that country,o ano de 1980 viu o crescimento economico mais rapido daquele pais
i am only joking,so estou brincando
i cant give up,nao posso desistir
im genuinely happy for tom,estou genuinamente feliz por tom
i thought tom would be interested in this,achei que o tom se interessaria com isso
the results of the experiment were not as we had hoped,os resultados do experimento nao foram como nos esperavamos
are you going to buy that car,voces vao comprar este carro
the new store opens next week,a nova loja abre na proxima semana
this is mine,isso e meu
let me in,deixeme entrar
he was about to speak,ele estava prestes a falar
i ate steak yesterday,comi bife ontem
theres a chance that tap water may contain harmful substances like chlorine and lead,existe uma possibilidade de que agua encanada contenha substancias toxicas como cloro e chumbo
welcome back we missed you,bemvinda de volta sentimos a sua falta
tom won the lottery,tom ganhou na loteira
tom helped himself,tom ajudou a si mesmo
tom knows what mary likes,tom sabe do que a mary gosta
we got lost,enganamonos no caminho
whatll tom do with it,o que e que o tom vai fazer com isso
do you plan to go to tokyo by bus,voces planejam ir a toquio de onibus
tom smiled and started to dance,tom sorriu e comecou a dancar
the teacher told them not to swim in the river,o professor lhes disse que nao nadassem no rio
forgive me im a bit nervous,perdoeme estou um pouco nervoso
i asked tom a question,eu fiz uma pergunta ao tom
tom bought mary a box of chocolates,tom comprou para mary uma caixa de chocolates
bring me my glasses,tragame meus oculos
i didnt think that you were coming,eu nao pensei que voce estava vindo
there was no investigation,nao houve investigacao
it makes sense,isso faz sentido
tom would like a word with you,tom quer falar com voce
i wonder if were alone in the universe,sera que estamos sozinhos no universo
this poem was originally written in french,este poema foi originalmente escrito em frances
tom isnt going to do that,tom nao ira fazer isso
i go home right after work,eu vou para casa logo apos o trabalho
tom has green eyes,tom tem olhos verdes
today i met my new philosophy teacher,hoje eu conheci a minha nova professora de filosofia
we eventually got married,acabamos nos casando
toms bedroom door is shut,a porta do quarto de tom esta fechada
they already have one,eles ja tem um
im sorry i cant help you,sinto muito em nao poder ajudalo
whats the best way to travel,qual e a melhor maneira de viajar
can you describe them,voce pode descrevelos
you all know im not a criminal,voces todos sabem que eu nao sou criminoso
why does tom never agree with us,por que o tom nunca concorda com a gente
im sorry for all the pain i caused you,me desculpe por toda a dor que eu causei a voce
im happy tom,estou feliz tom
the firemen broke down the door with an ax,os bombeiros arrombaram a porta com um machado
shakespeare wrote a lot of interesting plays,shakespeare escreveu muitas pecas interessantes
tom said that,tom disse isso
dont you want to give me a hug,nao quer me dar um abraco
this is the first time ive seen one of these,e a primeira vez que eu vejo um destes
what did tom do that was so wrong,o que foi que o tom fez que estava tao errado assim
do you have any questions for me,voce tem alguma pergunta para mim
i thought we could talk,eu pensei que pudessemos conversar
i do hope youll come again,eu espero que voce venha de novo
be quiet or the baby will wake up,fique quieto ou o bebe acordara
tom is extremely lazy,tom e extremamente preguicoso
tom and mary live on the same street,o tom e a mary vivem na mesma rua
she smokes 20 cigarettes a day,ela fuma vinte cigarros por dia
im still very active,eu ainda estou muito ativo
he didnt confirm,ele nao confirmou
i think i fell asleep during class,acho que adormeci durante a aula
i didnt know dogs did that,eu nao sabia que cachorros faziam isso
im leaving now,estou saindo agora
tom cant play tennis very well,tom nao sabe jogar tenis muito bem
tom has a big problem,tom tem um problemao
tom seems to have reasons for everything he did,tom parece ter razoes para tudo que ele fez
do you know when tom will be home,voce sabe quando tom chegara em casa
i saw my friends yesterday,eu me encontrei com meus amigos ontem
do you want me to teach you some swear words,voce quer que eu te ensine palavroes
tennis is my favorite sport,o tenis e meu esporte preferido
the cops fired back,a policia disparou de volta
i want to be safe,quero ficar seguro
i work afternoons,eu trabalho a tarde
dont play in the street,nao brinque na rua
their efforts were not for nothing,os esforcos deles nao foram por nada
tom is a cattle rancher,tom e um criador de gado
i havent met him,eu ainda nao o conheco
im not interested in talking to tom,nao estou interessado em falar com o tom
tom said that hell help us do that,tom disse que vai nos ajudar a fazer isso
they went to the station by car,eles foram de carro para a estacao
tom said that probably wont happen again,o tom disse que provavelmente nao vai acontecer de novo
our little girl is growing up,nossa garotinha esta crescendo
i cant approve the project it leaves much to be desired,eu nao posso aprovar o projeto ele deixa muito a desejar
im sure we have a lot in common,eu tenho certeza de que nos temos muito em comum
please write down your name,escreve o teu nome por favor
can you play the guitar,voce sabe tocar violao
they believed in me,eles acreditaram em mim
see you tomorrow,te vejo amanha
its a lot easier than i thought,e muito mais facil do que pensei
i forgot to do that,esqueci de fazer isso
i hope that you got what you need,espero que voce tenha o que precisa
you should be careful with a knife,voce precisa ter cuidado com a faca
that wont ever happen,isso nunca acontecera
tom isnt being very helpful is he,tom nao esta ajudando muito esta
this flower is beautiful isnt it,esta flor e bonita nao e
i need the work,preciso do trabalho
i am happy,eu estou feliz
they will not pass,eles nao passarao
the content of the letter had an interesting effect on my marriage,o conteudo da carta teve um efeito interessante no meu casamento
youre seriously ill,voce esta seriamente doente
do you think tom saw us,voce acha que o tom nos viu
were making breakfast,estamos preparando o cafe da manha
its a good thing i didnt buy that car,ainda bem que nao comprei aquele carro
i hear that tom and mary have split up,eu ouvi dizer que tom e maria se separaram
tom yelled as loud as he could,tom gritou o mais alto que pode
i cracked the code,eu decifrei o codigo
tom and mary often wear the same color clothes,tom e mary costumam usar roupas da mesma cor
tom looks like john,tom se parece com john
several children are playing on the beach,varias criancas estao brincando na praia
walk more slowly,ande mais devagar
did you do what i asked,tu fizeste o que eu pedi
summer is the season when women look most beautiful,o verao e a estacao do ano em que as mulheres ficam mais bonitas
tom told everybody that he was broke,o tom disse que estava nas lonas
i think that it can be done,eu acho que pode ser feito
they have a talented producer,eles tem um produtor talentoso
the police arrested the thief,a policia prendeu o ladrao
tom isnt the lying type,tom nao e do tipo que mente
tom did that without any problems,o tom o fez sem problemas
we wont stay in boston very long,nao vamos ficar em boston por muito tempo
i may be right,eu posso estar certo
i loved you,ameio
i didnt know you had a cat,nao sabia que voces tinham um gato
be cool,seja legal
this is not a time for celebration,nao e tempo para comemorar
tom should be in boston next monday,tom deve estar em boston na proxima segunda
tom left about an hour ago with mary,o tomas saiu ha cerca de uma hora com a maria
do your best,faca o seu melhor
i wouldnt tell tom anything if i were you,eu nao diria nada para o tom se eu fosse voce
it shouldve been mine,isso deveria ter sido meu
are you sure you dont want coffee,voce tem certeza de que nao quer cafe
tom was screaming in pain,tom estava gritando de dor
they arent mine,nao sao meus
the coffees on me,o cafe e por minha conta
lets cross here,vamos atravessar aqui
i havent given up,eu nao desisti
mother divided the cake into three parts,a mae dividiu o bolo em tres partes
im normal,eu sou normal
tom is eating breakfast alone in the kitchen,o tom esta tomando cafe da manha sozinho na cozinha
tom doesnt know what mary is looking for,tom nao sabe o que mary esta procurando
he secretly showed me her picture,ele secretamente me mostrou a foto dela
i used to be a businessman,eu era empresario
help me move this stone,me ajude a mover essa pedra
describe that accident in detail,descreve esse acidente detalhadamente
a glass of red wine please,um copo de vinho tinto por favor
it may be that he likes his job,pode ser que ele goste do emprego dele
i want to go to the movies,eu quero ir ao cinema
i didnt want to do that,eu nao queria fazer aquilo
im not in a hurry,nao estou com pressa
tom did that by himself yesterday,o tom fez isso sozinho ontem
i was stupid,eu fui estupido
tom sent money to mary to help her pay for school expenses,tom enviou dinheiro para a mary a fim de ajudala a pagar as despesas da escola
have you ever been to europe,voce ja foi a europa
ill be retiring in october,reformome em outubro
you live near here dont you,voce mora aqui perto nao mora
we need the rain,nos precisamos da chuva
youre the best thing that ever happened to me,voce e a melhor coisa que ja me aconteceu
thats not what tom wanted to do,nao e o que o tom queria fazer
he has been ill but is not ill now,ele esteve doente mas nao esta doente agora
i think i do good work,acho que faco um bom trabalho
have you been abroad,voce ja foi ao exterior
thank you for returning my call,obrigado por retornar a minha ligacao
i hope you like tom,espero que goste de tom
our car broke down last night,o nosso carro estragou noite passada
were armed,nos estamos armados
tom doesnt believe in god,tom nao acredita em deus
needless to say because of the accident he will stay away from school for a while,nao e preciso dizer que por causa do acidente ele vai faltar a escola por um tempo
tom is debtfree,tom esta livre de dividas
we have to get better,temos que melhorar
tom never showed up,tom nunca apareceu
tom cut the cake into eight pieces,o tom cortou o bolo em oito pedacos
there will be an economic crisis at the end of this year,havera uma crise economica ao fim deste ano
i have a backache,estou com uma dor nas costas
apparently tom is still alive,aparentemente tom ainda esta vivo
do you prefer to go by train or bus,voce prefere pegar um trem ou um onibus
theyre free to go,eles estao livres para ir
please turn off the radio,por favor desligue o radio
what are you guys doing here,o que voces estao fazendo aqui pessoal
my dad will kill me,o meu pai vai me matar
tomll pay,tom ira pagar
you can trust him,pode confiar nele
whose candy is this,de quem e este doce
its really embarrassing,e realmente vergonhoso
mary is quite beautiful isnt she,maria e muito bonita nao e
put it on my account,ponha na conta
can you tell me where i might find tom,voce pode me dizer onde eu posso encontrar o tom
tom cant find mary,tom nao consegue encontrar a mary
my friends are waiting for me,meus amigos estao esperando por mim
may i use your dictionary,posso utilizar seu dicionario
do you have nightmares,voce tem pesadelos
i have nightmares,eu tenho pesadelos
i asked my mother if breakfast was ready,perguntei a minha mae se o cafe da manha estava pronto
didnt i tell you that you didnt have to do that,eu nao te disse que voce nao precisava fazer isso
tom ended up winning,tom acabou ganhando
tom likes ham and eggs,tom gosta de presunto e ovos
tom and mary had a fight,tom e maria brigaram
i wanted tom to wait for us,eu queria que tom esperasse por nos
i forgot,me esqueci
i promise ill bring it right back,prometo que eu vou trazer isso de volta
did you go to see tom,tu foste ver o tom
i think i want to stay,eu acho que quero ficar
i drink coffee in the morning,bebo cafe de manha
i can see that,posso ver isso
ive never seen tom help anyone,eu nunca vi tom ajudar ninguem
i know that he was busy,eu sei que ele estava ocupado
tom wanted to buy another car,o tom queria comprar um outro carro
the plot twists were predictable,as reviravoltas do enredo eram previsiveis
how did you get to the stadium,como e que voce fez para chegar ao estadio
i had lunch around eleven because i was hungry,eu almocei as onze porque estava faminto
i just need a moment,eu so preciso de um momento
were curious,estamos intrigados
i like him very much,gosto muito dele
i told tom he didnt have to do that,eu disse para o tom que ele nao precisava fazer isso
tom is overconfident,tom e prepotente
the landlord told him to leave because he hadnt paid his rent,o proprietario disse para ele sair porque nao tinha pagado o aluguel
this test is important,este teste e importante
i like swimming,eu gosto de nadar
sheep eat grass,os carneiros comem capim
why do i even bother,por que eu ainda ligo pra isso
im studying english at home,estou estudando ingles em casa
you know we dont have to do that,voce sabe que nao precisamos fazer isso
cars are expensive,os carros sao caros
did you lose weight,voce perdeu peso
tom left just a while ago,tom saiu faz pouco tempo
where is my clock,onde esta o meu relogio
you should listen to his advice,voce deveria escutar o conselho dele
thats too expensive,e caro demais
get on your feet,levantese
i know who im going to vote for,sei em quem eu vou votar
wheres the kitchen,onde fica a cozinha
tom is unreliable,tom nao e confiavel
it is not far away from the hotel,nao fica muito longe do hotel
i dont think that tom will change,eu nao acho que o tom vai mudar
tom says that he has to go to boston the day after tomorrow,tom diz que precisa ir a boston depois de amanha
theyre stupid,elas sao estupidas
would you like to eat dinner on the veranda,voce gostaria de jantar na varanda
i dont sing anymore,eu nao canto mais
nothingll happen,nada vai acontecer
we waited for tom but he didnt come,nos esperamos por tom mas ele nao veio
i take a bath every morning in the summer,no verao tomo banho todo dia de manha
i want to live in australia,quero morar na australia
choose between these two,escolha entre estes dois
he told me that his house was haunted,ele me contou que a casa dele era mal assombrada
im not going to name names,eu nao vou dar nome aos bois
the taste of love is bitter,o sabor do amor e amargo
you dont need to convince me,voce nao precisa me convencer
can anyone tell me the time,alguem pode me dizer que horas sao
we are glad to have you in our class,estamos felizes em telo na nossa classe
women didnt have the right to vote,a mulher nao tinha o direito de votar
i hate being alone on valentines day,eu odeio ficar sozinho no dia dos namorados
the referee made the right decision,o arbitro tomou a decisao correta
do you know anyone whos not on facebook,voce conhece alguem que nao esteja no facebook
ive already told tom whats going to happen,eu ja contei para o tom o que vai acontecer
i thought it might be important to talk to tom,eu achei que seria importante falar para o tom
its an old name,e um nome antigo
what tom did is illegal,o que tom fez e ilegal
give tom your seat,de o seu assento a tom
is it complicated,e complicado
i hope you get well soon,espero que voces fiquem bem logo
is it bad,e grave
the island is warm all year,a ilha e quente o ano inteiro
tom left the window open,tom deixou a janela aberta
i dont speak french as fluently as tom does,eu nao falo frances de forma tao fluente quanto o tom
tom graduated from college three years ago,tom se formou na faculdade faz tres anos
what do you want tom,o que voce quer tom
i want to dive into the river,quero mergulhar no rio
it doesnt seem very fair,nao parece ser longe
this beer is not cold enough,essa cerveja nao esta gelada o suficiente
her eyes filled with tears,os olhos dela encheramse de lagrimas
youre a true friend,voce e um amigo de verdade
which movie did you watch,qual filme voces assistiram
they dont seem happy,eles nao parecem felizes
this dictionary has 12 volumes,este dicionario tem 12 volumes
i think tom is ready,eu acho que o tom esta preparado
i do whats best for my country,eu faco o que e melhor para o meu pais
well leave as soon as youre ready,partiremos assim que estiver pronto
tom is funny,tom e engracado
do you need an umbrella,esta precisando de um guardachuva
this company sold unsafe products,essa companhia vendeu produtos naoseguros
we traveled on foot,viajamos a pe
what are we going to do about it,o que vamos fazer a respeito disso
is this beef or pork,isto e carne de boi ou de porco
can he speak english,ele sabe falar ingles
this is an important decision,esta e uma decisao importante
i love chinese food,eu amo comida chinesa
why arent you going because i dont want to,por que voce nao vai porque eu nao quero
im not selling anything,eu nao estou vendo nada
have you finished writing your thesis,voce terminou de escrever sua tese
thats so embarrassing,isso e tao constrangedor
theres still a chance,ainda ha uma chance
i think something like this could only happen in boston,acho que algo assim so poderia acontecer em boston
i dont think tom knows why mary isnt here today,nao acho que tom sabe por que mary nao esta aqui hoje
you have to go back,voce precisa voltar
she doesnt know the truth yet,ela ainda nao sabe a verdade
i suggest you go by train,eu sugiro que voce va de trem
tom wont be happy here,tom nao sera feliz aqui
you need to accept your role,voce precisa aceitar o seu papel
tom lives a few blocks away from here,tom mora a alguns quarteiroes daqui
what does it matter,que importa
tom isnt there,tom nao esta la
i cant imagine life without you,nao consigo imaginar a vida sem voce
i dont know if i could do that,nao sei se eu conseguiria fazer isso
i like soccer best,eu gosto mais de futebol
it makes my mouth water,me da agua na boca
were you following me,estava me seguindo
the new subway enables me to get to school in 20 minutes,o novo metro me permite chegar na escola em 20 minutos
you should tell tom that mary is planning to join the team,ele deveria dizer ao tom que a mary esta pensando em se juntar a equipe
now im ready,estou pronto agora
toms parents died in 2013,os pais de tom faleceram em 2013
you told me to improvise,voce me disse para improvisar
i like potato salad,eu gosto de salada de batatas
where do you come from,de onde sao voces
its a fantastic story,e uma estoria fantastica
